./00-overview.md	contract	-	keep-toplevel
./consistency-0.69.0.md	historical-snapshot	v0.69.0	history/v0.69.0/consistency.md
./consistency-0.71.0.md	historical-snapshot	v0.71.0	history/v0.71.0/consistency.md
./consistency-0.76.0.md	historical-snapshot	v0.76.0	history/v0.76.0/consistency.md
./consistency-0.93.0.md	historical-snapshot	v0.93.0	history/v0.93.0/consistency.md
./consistency-1.18.0.md	historical-snapshot	v1.18.0	history/v1.18.0/consistency.md
./consistency-1.20.0.md	historical-snapshot	v1.20.0	history/v1.20.0/consistency.md
./consistency-1.28.0.md	historical-snapshot	v1.28.0	history/v1.28.0/consistency.md
./consistency-1.42.1.md	historical-snapshot	v1.42.1	history/v1.42.1/consistency.md
./memory/00-code-inventory.md	canonical-latest	v1.42.1-full	latest/00-code-inventory.md
./memory/00-rubric.md	canonical-latest	v1.42.1-full	latest/00-rubric.md
./memory/00-scope.md	canonical-latest	v1.42.1-full	latest/00-scope.md
./memory/01-traceability.csv	canonical-latest	v1.42.1-full	latest/01-traceability.csv
./memory/02-orphans.md	canonical-latest	v1.42.1-full	latest/02-orphans.md
./memory/03-missing-impl.md	canonical-latest	v1.42.1-full	latest/03-missing-impl.md
./memory/10-scores.md	canonical-latest	v1.42.1-full	latest/10-scores.md
./memory/20-runtime.md	canonical-latest	v1.42.1-full	latest/20-runtime.md
./memory/21-persistence.md	canonical-latest	v1.42.1-full	latest/21-persistence.md
./memory/22-results.md	canonical-latest	v1.42.1-full	latest/22-results.md
./memory/23-config.md	canonical-latest	v1.42.1-full	latest/23-config.md
./memory/24-ui.md	canonical-latest	v1.42.1-full	latest/24-ui.md
./memory/25-errors.md	canonical-latest	v1.42.1-full	latest/25-errors.md
./memory/26-telemetry.md	canonical-latest	v1.42.1-full	latest/26-telemetry.md
./memory/27-security.md	canonical-latest	v1.42.1-full	latest/27-security.md
./memory/28-tests.md	canonical-latest	v1.42.1-full	latest/28-tests.md
./memory/29-governance.md	canonical-latest	v1.42.1-full	latest/29-governance.md
./memory/30-db-conventions.md	canonical-latest	v1.42.1-full	latest/30-db-conventions.md
./memory/31-design-system.md	canonical-latest	v1.42.1-full	latest/31-design-system.md
./memory/90-top-findings.md	canonical-latest	v1.42.1-full	latest/90-top-findings.md
./memory/91-corrections.md	canonical-latest	v1.42.1-full	latest/91-corrections.md
./memory/99-audit-report.md	canonical-latest	v1.42.1-full	latest/99-audit-report.md
./memory/99-audit-report.v0.101.0.md	historical-snapshot	v0.101.0	history/pre-v1/99-audit-report.v0.101.0.md
./memory/99-audit-report.v0.108.0.md	historical-snapshot	v0.108.0	history/pre-v1/99-audit-report.v0.108.0.md
./memory/99-audit-report.v0.114.0.md	historical-snapshot	v0.114.0	history/pre-v1/99-audit-report.v0.114.0.md
./memory/99-signoff-v1.0.0.md	historical-snapshot	v1.0.0	history/v1.0.0/00-signoff.md
./memory/evidence/v0.109.0/SUMMARY.md	evidence	v0.109.0	evidence/v0.109.0/SUMMARY.md
./memory/evidence/v0.109.0/metrics.json	evidence	v0.109.0	evidence/v0.109.0/metrics.json
./memory/evidence/v1.0.0/SUMMARY.md	evidence	v1.0.0	evidence/v1.0.0/SUMMARY.md
./memory/evidence/v1.0.0/a11y-axe.json	evidence	v1.0.0	evidence/v1.0.0/a11y-axe.json
./memory/evidence/v1.0.0/e2e-smoke.json	evidence	v1.0.0	evidence/v1.0.0/e2e-smoke.json
./memory/evidence/v1.0.0/fps-metrics.json	evidence	v1.0.0	evidence/v1.0.0/fps-metrics.json
./memory/evidence/v1.0.0/matrix-summary.json	evidence	v1.0.0	evidence/v1.0.0/matrix-summary.json
./memory/evidence/v1.0.0/pytest.json	evidence	v1.0.0	evidence/v1.0.0/pytest.json
./memory/evidence/v1.0.0/vitest.json	evidence	v1.0.0	evidence/v1.0.0/vitest.json
./memory/index.md	canonical-latest	v1.42.1-full	latest/index.md
./memory/v1.18.0/00-code-inventory.md	historical-snapshot	v1.18.0	history/v1.18.0/00-code-inventory.md
./memory/v1.18.0/00-spec-inventory.md	historical-snapshot	v1.18.0	history/v1.18.0/00-spec-inventory.md
./memory/v1.18.0/01-traceability.csv	historical-snapshot	v1.18.0	history/v1.18.0/01-traceability.csv
./memory/v1.18.0/02-orphans.md	historical-snapshot	v1.18.0	history/v1.18.0/02-orphans.md
./memory/v1.18.0/03-missing-impl.md	historical-snapshot	v1.18.0	history/v1.18.0/03-missing-impl.md
./memory/v1.18.0/10-scores.md	historical-snapshot	v1.18.0	history/v1.18.0/10-scores.md
./memory/v1.18.0/20-runtime.md	historical-snapshot	v1.18.0	history/v1.18.0/20-runtime.md
./memory/v1.18.0/21-persistence.md	historical-snapshot	v1.18.0	history/v1.18.0/21-persistence.md
./memory/v1.18.0/22-results.md	historical-snapshot	v1.18.0	history/v1.18.0/22-results.md
./memory/v1.18.0/23-config.md	historical-snapshot	v1.18.0	history/v1.18.0/23-config.md
./memory/v1.18.0/24-ui.md	historical-snapshot	v1.18.0	history/v1.18.0/24-ui.md
./memory/v1.18.0/25-errors.md	historical-snapshot	v1.18.0	history/v1.18.0/25-errors.md
./memory/v1.18.0/26-telemetry.md	historical-snapshot	v1.18.0	history/v1.18.0/26-telemetry.md
./memory/v1.18.0/27-security.md	historical-snapshot	v1.18.0	history/v1.18.0/27-security.md
./memory/v1.18.0/28-tests.md	historical-snapshot	v1.18.0	history/v1.18.0/28-tests.md
./memory/v1.18.0/29-governance.md	historical-snapshot	v1.18.0	history/v1.18.0/29-governance.md
./memory/v1.18.0/30-db-conventions.md	historical-snapshot	v1.18.0	history/v1.18.0/30-db-conventions.md
./memory/v1.18.0/31-design-system.md	historical-snapshot	v1.18.0	history/v1.18.0/31-design-system.md
./memory/v1.18.0/90-top-findings.md	historical-snapshot	v1.18.0	history/v1.18.0/90-top-findings.md
./memory/v1.18.0/91-corrections.md	historical-snapshot	v1.18.0	history/v1.18.0/91-corrections.md
./memory/v1.18.0/99-audit-report.md	historical-snapshot	v1.18.0	history/v1.18.0/99-audit-report.md
./memory/v1.18.0/index.md	historical-snapshot	v1.18.0	history/v1.18.0/index.md
./memory/v1.20.0/00-code-inventory.md	historical-snapshot	v1.20.0	history/v1.20.0/00-code-inventory.md
./memory/v1.20.0/00-spec-inventory.md	historical-snapshot	v1.20.0	history/v1.20.0/00-spec-inventory.md
./memory/v1.20.0/01-traceability.csv	historical-snapshot	v1.20.0	history/v1.20.0/01-traceability.csv
./memory/v1.20.0/02-orphans.md	historical-snapshot	v1.20.0	history/v1.20.0/02-orphans.md
./memory/v1.20.0/03-missing-impl.md	historical-snapshot	v1.20.0	history/v1.20.0/03-missing-impl.md
./memory/v1.20.0/10-scores.md	historical-snapshot	v1.20.0	history/v1.20.0/10-scores.md
./memory/v1.20.0/20-runtime.md	historical-snapshot	v1.20.0	history/v1.20.0/20-runtime.md
./memory/v1.20.0/21-persistence.md	historical-snapshot	v1.20.0	history/v1.20.0/21-persistence.md
./memory/v1.20.0/22-results.md	historical-snapshot	v1.20.0	history/v1.20.0/22-results.md
./memory/v1.20.0/23-config.md	historical-snapshot	v1.20.0	history/v1.20.0/23-config.md
./memory/v1.20.0/24-ui.md	historical-snapshot	v1.20.0	history/v1.20.0/24-ui.md
